Date,Time,Transaction ID,Type,Customer Name,Item Name,Size,Category,Payment Method,Gross Sales,Discounts,Net Sales,Tax,Tip,Total Collected,Fees,Net Total
2025-01-01,11:29:22,TXN-6055,Sale,Alex V.,Latte,16 oz,coffee,Credit Card,6.25,0.00,6.25,0.57,0.51,7.33,0.33,7.00
2025-01-01,11:37:47,TXN-6036,Sale,Hayden P.,Caramel Brulee Latte,16 oz,seasonal drink,Credit Card,6.75,0.00,6.75,0.62,0.51,7.88,0.35,7.53
2025-01-01,11:46:37,TXN-6093,Sale,Jordan I.,Peppermint Mocha,16 oz,seasonal drink,Credit Card,6.25,0.00,6.25,0.57,0.00,6.82,0.32,6.50
2025-01-01,11:51:20,TXN-6010,Sale,Avery G.,Dark Mocha,12 oz,coffee,Credit Card,5.75,1.41,4.34,0.40,0.53,5.27,0.28,4.99
2025-01-01,11:51:42,TXN-6053,Sale,Reese F.,Dark Mocha,12 oz,coffee,Cash,5.75,0.00,5.75,0.52,0.00,6.27,0.00,6.27
2025-01-01,11:59:33,TXN-6019,Sale,Rowan A.,White Mocha,12 oz,coffee,Cash,5.75,0.00,5.75,0.52,0.00,6.27,0.00,6.27
2025-01-01,12:01:47,TXN-6000,Sale,Cameron C.,Peppermint Mocha,16 oz,seasonal drink,Credit Card,6.25,0.00,6.25,0.57,0.00,6.82,0.32,6.50
2025-01-01,12:03:43,TXN-6029,Sale,Avery Z.,Americano,12 oz,coffee,Apple Pay,3.50,0.00,3.50,0.32,0.17,3.99,0.25,3.74
2025-01-01,12:07:50,TXN-6089,Sale,Parker R.,Chamomile Tea,12 oz,tea,Cash,4.00,0.00,4.00,0.36,0.00,4.36,0.00,4.36
2025-01-01,12:17:28,TXN-6074,Sale,Avery R.,Tiramisu Affogato,12 oz,seasonal drink,Credit Card,6.00,0.00,6.00,0.55,0.60,7.15,0.33,6.82
2025-01-01,12:19:53,TXN-6018,Sale,Riley R.,Matcha Latte,16 oz,tea,Apple Pay,6.50,0.00,6.50,0.59,1.15,8.24,0.36,7.88
2025-01-01,12:20:15,TXN-6040,Sale,Skyler K.,Earl Gray Loose Leaf Tea,12 oz,tea,Credit Card,4.00,0.00,4.00,0.36,0.29,4.65,0.27,4.38
2025-01-01,12:25:56,TXN-6011,Sale,Reese E.,Earl Gray Latte,12 oz,tea,Cash,5.00,0.00,5.00,0.46,0.00,5.46,0.00,5.46
2025-01-01,12:28:16,TXN-6073,Sale,Elliot P.,White Mocha,12 oz,coffee,Apple Pay,5.75,0.00,5.75,0.52,0.69,6.96,0.32,6.64
2025-01-01,12:35:19,TXN-6044,Sale,Casey I.,White Mocha,12 oz,coffee,Cash,5.75,0.00,5.75,0.52,0.00,6.27,0.00,6.27
2025-01-01,12:41:23,TXN-6024,Sale,Jamie C.,Chamomile Tea,12 oz,tea,Credit Card,4.00,0.00,4.00,0.36,0.58,4.94,0.27,4.67
2025-01-01,12:44:27,TXN-6003,Sale,Avery D.,Tiramisu Affogato,16 oz,seasonal drink,Credit Card,6.50,0.00,6.50,0.59,0.00,7.09,0.33,6.76
2025-01-01,12:53:00,TXN-6032,Sale,Jamie F.,Tiramisu Affogato,12 oz,seasonal drink,Cash,6.00,0.00,6.00,0.55,0.00,6.55,0.00,6.55
2025-01-01,12:54:16,TXN-6046,Sale,Sam C.,Peppermint Mocha,12 oz,seasonal drink,Credit Card,5.75,0.00,5.75,0.52,0.00,6.27,0.31,5.96
2025-01-01,13:36:12,TXN-6068,Sale,Casey U.,Chamomile Tea,16 oz,tea,Apple Pay,4.50,0.00,4.50,0.41,0.31,5.22,0.28,4.94
2025-01-01,13:46:50,TXN-6035,Sale,Drew G.,Dark Mocha,12 oz,coffee,Apple Pay,5.75,0.00,5.75,0.52,1.30,7.57,0.34,7.23
2025-01-01,13:51:11,TXN-6052,Sale,Avery Z.,Chamomile Tea,16 oz,tea,Cash,4.50,1.24,3.26,0.30,0.00,3.56,0.00,3.56
2025-01-01,13:57:48,TXN-6069,Sale,Robin H.,White Mocha,12 oz,coffee,Cash,5.75,0.00,5.75,0.52,0.00,6.27,0.00,6.27
2025-01-01,14:02:57,TXN-6050,Sale,Parker Y.,Americano,12 oz,coffee,Credit Card,3.50,0.00,3.50,0.32,0.00,3.82,0.25,3.57
2025-01-01,14:30:01,TXN-6083,Sale,Sam Y.,Toasted Marshmallow Latte,16 oz,seasonal drink,Apple Pay,6.50,0.72,5.78,0.53,1.62,7.93,0.35,7.58
2025-01-01,14:35:00,TXN-6096,Sale,Robin P.,Tiramisu Affogato,16 oz,seasonal drink,Credit Card,6.50,0.00,6.50,0.59,1.22,8.31,0.36,7.95
2025-01-01,14:35:45,TXN-6048,Sale,Casey R.,Chamomile Tea,16 oz,tea,Credit Card,4.50,0.58,3.92,0.36,0.00,4.28,0.26,4.02
2025-01-01,14:43:47,TXN-6063,Sale,Drew M.,Latte,12 oz,coffee,Cash,5.75,0.00,5.75,0.52,0.00,6.27,0.00,6.27
2025-01-01,14:48:17,TXN-6016,Sale,Riley O.,Toasted Marshmallow Latte,12 oz,seasonal drink,Apple Pay,6.00,0.00,6.00,0.55,0.76,7.31,0.33,6.98
2025-01-01,14:53:17,TXN-6047,Sale,Reese F.,Toasted Marshmallow Latte,12 oz,seasonal drink,Credit Card,6.00,0.00,6.00,0.55,0.30,6.85,0.32,6.53
2025-01-01,14:57:32,TXN-6072,Sale,Riley X.,Earl Gray Loose Leaf Tea,16 oz,tea,Credit Card,4.50,0.00,4.50,0.41,0.17,5.08,0.28,4.80
2025-01-01,15:15:12,TXN-6030,Sale,Reese O.,Caramel Brulee Latte,16 oz,seasonal drink,Credit Card,6.75,0.00,6.75,0.62,0.43,7.80,0.34,7.46
2025-01-01,15:59:04,TXN-6041,Sale,Taylor C.,Tiramisu Affogato,16 oz,seasonal drink,Credit Card,6.50,0.00,6.50,0.59,0.66,7.75,0.34,7.41
2025-01-01,16:06:24,TXN-6054,Sale,Jamie G.,Tiramisu Affogato,12 oz,seasonal drink,Cash,6.00,0.00,6.00,0.55,0.00,6.55,0.00,6.55
2025-01-01,16:44:15,TXN-6098,Refund,Drew V.,Americano,16 oz,coffee,Cash,-4.00,0.00,-4.00,-0.36,0.00,-4.37,0.00,-4.37
2025-01-01,16:44:34,TXN-6002,Sale,Alex Y.,Caramel Brulee Latte,12 oz,seasonal drink,Credit Card,6.25,0.00,6.25,0.57,1.15,7.97,0.35,7.62
2025-01-02,07:26:11,TXN-6149,Sale,Parker Q.,Chamomile Tea,12 oz,tea,Credit Card,4.00,0.00,4.00,0.36,0.00,4.36,0.26,4.10
2025-01-02,07:37:27,TXN-6118,Sale,Parker N.,Matcha Latte,16 oz,tea,Apple Pay,6.50,0.00,6.50,0.59,0.41,7.50,0.34,7.16
2025-01-02,07:48:40,TXN-6138,Sale,Drew A.,Americano,16 oz,coffee,Apple Pay,4.00,0.00,4.00,0.36,1.45,5.81,0.30,5.51
2025-01-02,07:50:03,TXN-6139,Sale,Elliot N.,Tiramisu Affogato,16 oz,seasonal drink,Credit Card,6.50,0.00,6.50,0.59,1.03,8.12,0.35,7.77
2025-01-02,08:12:58,TXN-6127,Sale,Jordan I.,Earl Gray Latte,12 oz,tea,Apple Pay,5.00,0.00,5.00,0.46,0.18,5.64,0.29,5.35
2025-01-02,08:14:26,TXN-6172,Sale,Taylor K.,Dark Mocha,12 oz,coffee,Credit Card,5.75,0.00,5.75,0.52,0.35,6.62,0.32,6.30
2025-01-02,08:15:11,TXN-6110,Sale,Kai P.,Peppermint Mocha,12 oz,seasonal drink,Apple Pay,5.75,0.00,5.75,0.52,0.33,6.60,0.32,6.28
2025-01-02,08:16:21,TXN-6135,Sale,Avery V.,Earl Gray Latte,12 oz,tea,Apple Pay,5.00,0.00,5.00,0.46,0.15,5.61,0.29,5.32
2025-01-02,08:17:02,TXN-6158,Sale,Jamie L.,White Mocha,12 oz,coffee,Apple Pay,5.75,0.00,5.75,0.52,0.31,6.58,0.31,6.27
2025-01-02,08:18:38,TXN-6176,Sale,Casey V.,Earl Gray Loose Leaf Tea,16 oz,tea,Credit Card,4.50,0.00,4.50,0.41,0.97,5.88,0.30,5.58
2025-01-02,08:21:15,TXN-6161,Sale,Morgan C.,White Mocha,16 oz,coffee,Cash,6.25,0.00,6.25,0.57,0.00,6.82,0.00,6.82
2025-01-02,08:27:54,TXN-6178,Sale,Cameron A.,Peppermint Mocha,12 oz,seasonal drink,Apple Pay,5.75,0.00,5.75,0.52,0.69,6.96,0.32,6.64
2025-01-02,08:28:58,TXN-6108,Sale,Drew S.,Americano,12 oz,coffee,Credit Card,3.50,0.00,3.50,0.32,0.00,3.82,0.25,3.57
2025-01-02,08:32:52,TXN-6121,Sale,Cameron O.,Earl Gray Latte,16 oz,tea,Cash,5.50,0.00,5.50,0.50,0.00,6.00,0.00,6.00
2025-01-02,08:34:45,TXN-6187,Sale,Parker C.,Matcha Latte,12 oz,tea,Credit Card,6.00,0.00,6.00,0.55,0.00,6.55,0.31,6.24
2025-01-02,08:36:18,TXN-6144,Sale,Quinn I.,Matcha Latte,12 oz,tea,Cash,6.00,0.00,6.00,0.55,0.00,6.55,0.00,6.55
2025-01-02,08:43:23,TXN-6159,Sale,Quinn I.,Toasted Marshmallow Latte,12 oz,seasonal drink,Credit Card,6.00,0.00,6.00,0.55,0.67,7.22,0.33,6.89
2025-01-02,08:46:09,TXN-6157,Sale,Rowan T.,Matcha Latte,16 oz,tea,Cash,6.50,0.00,6.50,0.59,0.00,7.09,0.00,7.09
2025-01-02,08:48:46,TXN-6147,Sale,Taylor U.,White Mocha,12 oz,coffee,Apple Pay,5.75,0.00,5.75,0.52,0.34,6.61,0.32,6.29
2025-01-02,08:54:06,TXN-6177,Sale,Reese S.,White Mocha,16 oz,coffee,Credit Card,6.25,0.00,6.25,0.57,0.54,7.36,0.33,7.03
2025-01-02,08:54:19,TXN-6143,Sale,Jamie M.,Tiramisu Affogato,16 oz,seasonal drink,Credit Card,6.50,0.00,6.50,0.59,0.60,7.69,0.34,7.35
2025-01-02,08:55:43,TXN-6145,Sale,Rowan J.,Dark Mocha,12 oz,coffee,Apple Pay,5.75,0.00,5.75,0.52,0.00,6.27,0.31,5.96
2025-01-02,08:58:51,TXN-6132,Sale,Casey P.,Earl Gray Latte,16 oz,tea,Credit Card,5.50,0.00,5.50,0.50,0.00,6.00,0.30,5.70
2025-01-02,09:02:14,TXN-6185,Sale,Drew G.,Latte,12 oz,coffee,Credit Card,5.75,0.00,5.75,0.52,0.34,6.61,0.32,6.29
2025-01-02,09:06:53,TXN-6102,Sale,Alex W.,Chamomile Tea,12 oz,tea,Credit Card,4.00,0.00,4.00,0.36,0.86,5.22,0.28,4.94
2025-01-02,09:07:54,TXN-6160,Sale,Kai A.,Toasted Marshmallow Latte,16 oz,seasonal drink,Cash,6.50,0.65,5.85,0.53,0.00,6.38,0.00,6.38
2025-01-02,09:11:03,TXN-6105,Sale,Jordan M.,Toasted Marshmallow Latte,16 oz,seasonal drink,Credit Card,6.50,0.00,6.50,0.59,1.44,8.53,0.36,8.17
2025-01-02,09:11:07,TXN-6164,Sale,Jamie S.,Chamomile Tea,12 oz,tea,Apple Pay,4.00,0.51,3.49,0.32,0.00,3.81,0.25,3.56
2025-01-02,09:11:16,TXN-6165,Sale,Jordan P.,Chamomile Tea,16 oz,tea,Credit Card,4.50,0.00,4.50,0.41,0.31,5.22,0.28,4.94
2025-01-02,09:12:33,TXN-6122,Sale,Sam G.,Latte,12 oz,coffee,Credit Card,5.75,0.00,5.75,0.52,1.43,7.70,0.34,7.36
2025-01-02,09:17:53,TXN-6150,Sale,Drew X.,White Mocha,12 oz,coffee,Credit Card,5.75,0.00,5.75,0.52,0.00,6.27,0.31,5.96
2025-01-02,09:19:16,TXN-6100,Sale,Cameron Y.,Tiramisu Affogato,12 oz,seasonal drink,Credit Card,6.00,0.00,6.00,0.55,0.51,7.06,0.33,6.73
2025-01-02,09:20:38,TXN-6169,Sale,Hayden R.,Toasted Marshmallow Latte,12 oz,seasonal drink,Credit Card,6.00,0.00,6.00,0.55,1.50,8.05,0.35,7.70
2025-01-02,09:21:35,TXN-6130,Sale,Morgan W.,Caramel Brulee Latte,16 oz,seasonal drink,Apple Pay,6.75,0.00,6.75,0.62,0.00,7.37,0.33,7.04
2025-01-02,09:23:32,TXN-6166,Sale,Kai B.,Earl Gray Loose Leaf Tea,16 oz,tea,Apple Pay,4.50,0.00,4.50,0.41,1.22,6.13,0.30,5.83
2025-01-02,09:25:45,TXN-6189,Sale,Avery F.,Chamomile Tea,12 oz,tea,Apple Pay,4.00,0.00,4.00,0.36,1.60,5.96,0.30,5.66
2025-01-02,09:26:07,TXN-6155,Sale,Rowan D.,Peppermint Mocha,16 oz,seasonal drink,Credit Card,6.25,0.00,6.25,0.57,0.76,7.58,0.34,7.24
2025-01-02,09:28:40,TXN-6197,Sale,Elliot C.,Toasted Marshmallow Latte,16 oz,seasonal drink,Credit Card,6.50,0.00,6.50,0.59,0.83,7.92,0.35,7.57
2025-01-02,09:36:40,TXN-6106,Sale,Drew C.,Dark Mocha,12 oz,coffee,Apple Pay,5.75,0.00,5.75,0.52,0.00,6.27,0.31,5.96
2025-01-02,09:39:29,TXN-6190,Sale,Jordan N.,Earl Gray Loose Leaf Tea,16 oz,tea,Cash,4.50,0.00,4.50,0.41,0.00,4.91,0.00,4.91
2025-01-02,09:40:16,TXN-6141,Sale,Skyler J.,Americano,16 oz,coffee,Credit Card,4.00,0.00,4.00,0.36,0.00,4.36,0.26,4.10
2025-01-02,09:42:06,TXN-6119,Sale,Rowan J.,Tiramisu Affogato,16 oz,seasonal drink,Cash,6.50,0.00,6.50,0.59,0.00,7.09,0.00,7.09
2025-01-02,09:45:17,TXN-6126,Sale,Skyler R.,Peppermint Mocha,12 oz,seasonal drink,Credit Card,5.75,0.00,5.75,0.52,0.71,6.98,0.32,6.66
2025-01-02,09:50:11,TXN-6140,Sale,Hayden E.,Tiramisu Affogato,12 oz,seasonal drink,Credit Card,6.00,1.12,4.88,0.45,0.83,6.16,0.30,5.86
2025-01-02,09:54:26,TXN-6128,Sale,Alex J.,Latte,16 oz,coffee,Credit Card,6.25,0.00,6.25,0.57,0.71,7.53,0.34,7.19
2025-01-02,09:55:09,TXN-6180,Sale,Alex C.,Earl Gray Loose Leaf Tea,12 oz,tea,Apple Pay,4.00,0.00,4.00,0.36,0.65,5.01,0.28,4.73
2025-01-02,10:05:27,TXN-6174,Sale,Cameron B.,Tiramisu Affogato,16 oz,seasonal drink,Credit Card,6.50,0.00,6.50,0.59,0.00,7.09,0.33,6.76
2025-01-02,10:05:50,TXN-6152,Sale,Parker V.,Matcha Latte,16 oz,tea,Credit Card,6.50,0.00,6.50,0.59,0.61,7.70,0.34,7.36
2025-01-02,10:07:22,TXN-6184,Sale,Rowan Q.,Caramel Brulee Latte,12 oz,seasonal drink,Credit Card,6.25,0.00,6.25,0.57,0.00,6.82,0.32,6.50
2025-01-02,10:08:32,TXN-6133,Sale,Taylor O.,Matcha Latte,16 oz,tea,Cash,6.50,0.00,6.50,0.59,0.00,7.09,0.00,7.09
2025-01-02,10:12:11,TXN-6194,Sale,Riley Y.,Latte,12 oz,coffee,Apple Pay,5.75,0.00,5.75,0.52,0.00,6.27,0.31,5.96
2025-01-02,10:14:18,TXN-6111,Sale,Jamie I.,Peppermint Mocha,12 oz,seasonal drink,Apple Pay,5.75,0.00,5.75,0.52,0.58,6.85,0.32,6.53
2025-01-02,10:15:27,TXN-6191,Sale,Drew X.,Caramel Brulee Latte,16 oz,seasonal drink,Apple Pay,6.75,0.00,6.75,0.62,0.17,7.54,0.34,7.20
2025-01-02,10:17:02,TXN-6103,Sale,Casey U.,Peppermint Mocha,12 oz,seasonal drink,Cash,5.75,0.00,5.75,0.52,0.00,6.27,0.00,6.27
2025-01-02,10:21:49,TXN-6192,Sale,Elliot G.,White Mocha,16 oz,coffee,Credit Card,6.25,0.00,6.25,0.57,0.40,7.22,0.33,6.89
2025-01-02,10:22:22,TXN-6193,Sale,Jamie D.,Caramel Brulee Latte,12 oz,seasonal drink,Apple Pay,6.25,0.00,6.25,0.57,0.00,6.82,0.32,6.50
2025-01-02,10:24:14,TXN-6131,Sale,Avery X.,Chamomile Tea,12 oz,tea,Cash,4.00,0.00,4.00,0.36,0.00,4.36,0.00,4.36
2025-01-02,10:31:28,TXN-6115,Sale,Reese A.,White Mocha,12 oz,coffee,Credit Card,5.75,0.93,4.82,0.44,0.79,6.05,0.30,5.75
